timesteps	evaders	pursuers
201	[[17, 22]]	[[13, 18], [12, 24], [12, 22], [14, 20]]
202	[[18, 21]]	[[14, 18], [13, 25], [13, 23], [15, 21]]
203	[[19, 21]]	[[15, 19], [14, 25], [14, 23], [15, 21]]
204	[[20, 20]]	[[15, 19], [14, 25], [14, 23], [15, 21]]
205	[[21, 19]]	[[15, 19], [14, 25], [14, 23], [15, 21]]
206	[[21, 18]]	[[16, 18], [15, 26], [15, 24], [15, 21]]
207	[[22, 17]]	[[17, 17], [15, 26], [16, 23], [16, 20]]
208	[[22, 16]]	[[18, 16], [16, 25], [16, 23], [17, 20]]
209	[[23, 15]]	[[19, 15], [16, 25], [17, 22], [18, 19]]
210	[[23, 15]]	[[20, 14], [17, 24], [18, 21], [19, 18]]
211	[[22, 14]]	[[21, 13], [18, 23], [19, 20], [20, 17]]
212	[[22, 13]]	[[22, 12], [19, 22], [20, 19], [20, 17]]
213	[[21, 12]]	[[23, 11], [20, 21], [20, 19], [20, 16]]
214	[[21, 11]]	[[23, 11], [20, 21], [21, 18], [21, 15]]
215	[[20, 10]]	[[23, 11], [19, 20], [21, 17], [21, 14]]
216	[[19, 9]]	[[22, 10], [19, 19], [20, 16], [20, 13]]
217	[[18, 9]]	[[21, 9], [18, 18], [19, 15], [19, 12]]
218	[[17, 8]]	[[20, 8], [18, 17], [18, 14], [18, 11]]
219	[[16, 8]]	[[19, 7], [17, 16], [17, 13], [19, 10]]
220	[[16, 8]]	[[18, 6], [16, 15], [16, 12], [18, 9]]
221	[[15, 7]]	[[18, 6], [15, 14], [16, 11], [18, 8]]
222	[[14, 8]]	[[17, 6], [14, 13], [15, 10], [17, 8]]
223	[[13, 8]]	[[16, 6], [13, 12], [14, 10], [16, 9]]
224	[[12, 9]]	[[15, 7], [12, 11], [14, 10], [16, 9]]
225	[[11, 9]]	[[14, 7], [12, 11], [14, 9], [16, 9]]
226	[[10, 10]]	[[13, 7], [11, 11], [13, 9], [15, 9]]
227	[[9, 11]]	[[12, 7], [10, 12], [12, 10], [14, 10]]
228	[[9, 12]]	[[11, 8], [9, 13], [11, 11], [13, 11]]
229	[[8, 12]]	[[10, 9], [8, 13], [11, 12], [13, 12]]
230	[[8, 12]]	[[9, 10], [7, 13], [10, 13], [12, 11]]
231	[[8, 13]]	[[8, 9], [6, 13], [10, 13], [11, 10]]
232	[[8, 14]]	[[7, 10], [6, 13], [10, 13], [11, 11]]
233	[[7, 15]]	[[8, 11], [6, 14], [11, 14], [10, 12]]
234	[[8, 16]]	[[7, 12], [5, 15], [10, 15], [9, 12]]
235	[[8, 17]]	[[7, 12], [6, 16], [10, 16], [9, 13]]
236	[[9, 18]]	[[6, 13], [6, 17], [10, 17], [9, 14]]
237	[[9, 19]]	[[7, 14], [7, 18], [11, 18], [9, 15]]
238	[[10, 20]]	[[6, 15], [7, 19], [11, 19], [10, 16]]
239	[[11, 21]]	[[7, 16], [8, 20], [12, 20], [11, 17]]
240	[[11, 21]]	[[8, 17], [9, 21], [13, 21], [12, 18]]
241	[[12, 21]]	[[8, 18], [9, 22], [13, 22], [13, 19]]
242	[[12, 22]]	[[9, 19], [10, 23], [13, 22], [13, 19]]
243	[[13, 22]]	[[10, 20], [11, 24], [13, 23], [14, 20]]
244	[[14, 22]]	[[10, 21], [11, 23], [14, 24], [14, 20]]
245	[[15, 23]]	[[10, 21], [11, 23], [14, 24], [14, 20]]
246	[[16, 22]]	[[10, 21], [12, 24], [15, 25], [15, 21]]
247	[[17, 22]]	[[11, 20], [13, 23], [16, 24], [16, 20]]
248	[[18, 21]]	[[12, 21], [14, 22], [17, 24], [16, 20]]
249	[[19, 21]]	[[13, 20], [14, 22], [18, 23], [17, 19]]
250	[[19, 21]]	[[13, 20], [14, 22], [18, 23], [17, 20]]
251	[[20, 20]]	[[14, 20], [14, 22], [19, 24], [18, 19]]
252	[[21, 19]]	[[14, 20], [14, 22], [20, 23], [19, 18]]
253	[[21, 18]]	[[15, 20], [15, 23], [21, 22], [20, 17]]
254	[[22, 17]]	[[16, 19], [16, 22], [22, 21], [21, 16]]
255	[[22, 16]]	[[17, 18], [17, 21], [23, 20], [22, 15]]
256	[[23, 15]]	[[18, 17], [18, 20], [24, 19], [22, 14]]
257	[[22, 14]]	[[19, 16], [19, 19], [25, 18], [23, 13]]
258	[[22, 13]]	[[20, 15], [20, 18], [24, 17], [22, 12]]
259	[[21, 12]]	[[20, 14], [21, 17], [23, 16], [22, 11]]
260	[[21, 12]]	[[19, 13], [21, 16], [24, 15], [21, 10]]
261	[[21, 11]]	[[19, 12], [21, 15], [23, 14], [21, 10]]
262	[[20, 10]]	[[19, 11], [20, 14], [23, 13], [21, 9]]
263	[[19, 9]]	[[18, 10], [20, 13], [22, 12], [20, 8]]
264	[[18, 9]]	[[17, 10], [19, 12], [22, 11], [19, 7]]
265	[[17, 8]]	[[16, 9], [18, 11], [21, 10], [19, 7]]
266	[[16, 8]]	[[15, 8], [17, 10], [20, 10], [18, 6]]
267	[[15, 7]]	[[14, 8], [16, 10], [19, 10], [18, 6]]
268	[[14, 8]]	[[13, 7], [15, 9], [18, 9], [17, 5]]
269	[[13, 8]]	[[12, 8], [14, 10], [17, 10], [16, 6]]
270	[[13, 8]]	[[11, 8], [13, 10], [16, 9], [15, 6]]
271	[[12, 9]]	[[11, 8], [13, 10], [15, 8], [14, 6]]
272	[[11, 9]]	[[10, 9], [12, 11], [14, 9], [13, 7]]
273	[[10, 10]]	[[9, 9], [12, 11], [13, 9], [12, 7]]
274	[[9, 11]]	[[8, 10], [11, 12], [12, 10], [11, 8]]
275	[[9, 12]]	[[7, 11], [11, 12], [11, 10], [11, 8]]
276	[[8, 13]]	[[7, 12], [11, 12], [10, 10], [12, 9]]
277	[[8, 14]]	[[6, 13], [10, 13], [9, 11], [11, 10]]
278	[[7, 15]]	[[6, 14], [10, 14], [8, 12], [10, 11]]
279	[[8, 16]]	[[5, 15], [10, 15], [7, 13], [9, 12]]
280	[[8, 16]]	[[6, 16], [10, 16], [7, 14], [9, 13]]
281	[[8, 17]]	[[6, 17], [10, 17], [6, 15], [9, 14]]
282	[[9, 18]]	[[6, 17], [10, 17], [6, 15], [9, 15]]
283	[[9, 19]]	[[7, 18], [11, 18], [7, 16], [10, 16]]
284	[[10, 20]]	[[7, 19], [11, 19], [8, 17], [10, 17]]
285	[[11, 21]]	[[8, 20], [12, 20], [8, 18], [11, 18]]
286	[[12, 21]]	[[9, 21], [12, 20], [9, 19], [11, 18]]
287	[[13, 22]]	[[10, 22], [12, 20], [10, 20], [12, 18]]
288	[[14, 22]]	[[11, 23], [12, 20], [10, 21], [12, 18]]
289	[[15, 23]]	[[11, 23], [12, 20], [10, 21], [12, 18]]
290	[[15, 23]]	[[12, 24], [13, 21], [10, 22], [11, 19]]
291	[[16, 22]]	[[12, 24], [13, 21], [11, 21], [11, 19]]
292	[[17, 22]]	[[13, 23], [14, 20], [11, 22], [11, 19]]
293	[[18, 21]]	[[13, 23], [15, 21], [11, 23], [12, 20]]
294	[[19, 21]]	[[14, 24], [16, 20], [12, 22], [12, 20]]
