timesteps	evaders	pursuers
155	[[29, 29]]	[[20, 30], [24, 26], [28, 28], [23, 24], [29, 26], [24, 30], [27, 30], [23, 21]]
156	[[28, 29]]	[[20, 30], [25, 27], [27, 28], [24, 25], [30, 27], [25, 30], [27, 30], [24, 22]]
157	[[27, 29]]	[[20, 30], [25, 28], [27, 27], [24, 26], [30, 28], [25, 30], [27, 30], [25, 23]]
158	[[26, 29]]	[[20, 30], [25, 28], [28, 27], [24, 26], [29, 29], [25, 30], [27, 30], [26, 24]]
159	[[25, 29]]	[[21, 30], [26, 27], [28, 27], [24, 27], [29, 29], [24, 30], [27, 30], [26, 25]]
160	[[25, 29]]	[[22, 29], [26, 27], [28, 27], [24, 27], [29, 30], [24, 30], [27, 30], [25, 25]]
161	[[24, 29]]	[[22, 29], [26, 27], [28, 28], [24, 27], [29, 30], [24, 30], [27, 30], [25, 25]]
162	[[23, 29]]	[[22, 29], [26, 28], [28, 28], [23, 27], [29, 30], [23, 30], [26, 30], [24, 25]]
163	[[22, 29]]	[[21, 28], [25, 28], [27, 27], [22, 26], [28, 30], [22, 30], [25, 30], [24, 26]]
164	[[21, 29]]	[[20, 29], [24, 28], [26, 27], [21, 27], [27, 30], [21, 30], [24, 30], [23, 26]]
165	[[20, 29]]	[[19, 29], [24, 28], [26, 28], [20, 27], [26, 30], [20, 30], [23, 30], [23, 26]]
166	[[19, 29]]	[[18, 30], [24, 28], [26, 28], [19, 27], [25, 30], [20, 30], [22, 30], [22, 27]]
167	[[18, 29]]	[[17, 29], [24, 28], [26, 28], [18, 27], [24, 30], [20, 30], [22, 30], [21, 27]]
168	[[17, 29]]	[[16, 29], [23, 28], [25, 27], [17, 27], [24, 30], [20, 30], [22, 30], [20, 28]]
169	[[16, 29]]	[[15, 29], [22, 28], [24, 26], [16, 26], [24, 30], [19, 30], [21, 30], [19, 28]]
170	[[16, 29]]	[[14, 29], [21, 27], [23, 25], [15, 27], [23, 30], [18, 30], [20, 30], [18, 28]]
171	[[15, 29]]	[[14, 30], [20, 28], [22, 26], [15, 27], [22, 30], [18, 30], [20, 30], [17, 27]]
172	[[14, 29]]	[[13, 30], [19, 27], [21, 25], [14, 27], [22, 30], [17, 30], [19, 30], [16, 27]]
173	[[13, 29]]	[[12, 30], [18, 28], [20, 26], [14, 27], [21, 30], [16, 30], [18, 30], [16, 27]]
174	[[12, 29]]	[[11, 29], [18, 28], [19, 26], [13, 27], [20, 30], [15, 30], [17, 30], [15, 27]]
175	[[11, 29]]	[[10, 30], [17, 28], [18, 26], [12, 27], [19, 30], [14, 30], [16, 30], [14, 27]]
176	[[10, 29]]	[[9, 30], [16, 28], [17, 26], [11, 27], [18, 30], [13, 30], [15, 30], [13, 28]]
177	[[9, 29]]	[[8, 29], [15, 28], [16, 26], [10, 27], [17, 30], [12, 30], [14, 30], [13, 28]]
178	[[8, 29]]	[[7, 29], [15, 28], [15, 26], [9, 26], [16, 30], [11, 30], [13, 30], [12, 28]]
179	[[7, 29]]	[[6, 29], [15, 28], [14, 25], [8, 27], [15, 30], [10, 30], [12, 30], [11, 27]]
180	[[7, 29]]	[[5, 30], [14, 28], [13, 25], [7, 27], [14, 30], [9, 30], [11, 29], [10, 27]]
181	[[6, 29]]	[[5, 29], [13, 27], [12, 25], [6, 27], [13, 30], [9, 30], [11, 30], [9, 27]]
182	[[5, 29]]	[[4, 29], [12, 28], [11, 25], [5, 27], [13, 30], [8, 30], [10, 30], [8, 28]]
183	[[4, 29]]	[[3, 29], [11, 27], [10, 25], [4, 27], [12, 30], [7, 30], [9, 30], [7, 28]]
184	[[3, 29]]	[[2, 29], [10, 28], [9, 26], [3, 27], [11, 30], [6, 30], [8, 30], [6, 27]]
185	[[2, 29]]	[[1, 29], [9, 28], [8, 26], [2, 27], [10, 30], [5, 30], [7, 30], [5, 28]]
186	[[1, 29]]	[[1, 30], [8, 28], [7, 26], [1, 27], [9, 30], [4, 30], [6, 30], [4, 27]]
187	[[2, 29]]	[[1, 30], [7, 28], [6, 25], [1, 27], [8, 30], [3, 30], [5, 30], [3, 28]]
188	[[3, 29]]	[[1, 30], [6, 27], [6, 25], [1, 27], [7, 30], [3, 30], [5, 30], [3, 27]]
189	[[4, 29]]	[[1, 30], [5, 28], [5, 26], [1, 28], [7, 30], [3, 30], [5, 30], [2, 26]]
190	[[4, 29]]	[[1, 30], [5, 28], [5, 26], [1, 28], [7, 30], [3, 30], [5, 30], [3, 27]]
191	[[5, 29]]	[[1, 30], [5, 28], [5, 26], [1, 28], [7, 30], [3, 30], [5, 30], [3, 27]]
192	[[6, 29]]	[[1, 30], [6, 28], [5, 26], [1, 28], [7, 30], [3, 30], [5, 30], [3, 28]]
193	[[7, 29]]	[[1, 30], [7, 27], [6, 25], [1, 28], [8, 29], [3, 30], [5, 30], [4, 27]]
194	[[8, 29]]	[[1, 30], [7, 27], [7, 24], [1, 28], [9, 30], [3, 30], [5, 30], [5, 28]]
195	[[9, 29]]	[[1, 30], [7, 27], [8, 23], [1, 28], [10, 29], [3, 30], [6, 30], [5, 28]]
196	[[10, 29]]	[[1, 30], [7, 27], [9, 24], [2, 27], [11, 28], [4, 30], [7, 30], [5, 28]]
197	[[11, 29]]	[[1, 30], [8, 28], [10, 25], [3, 26], [12, 29], [4, 30], [7, 30], [5, 28]]
198	[[12, 29]]	[[1, 30], [9, 29], [11, 26], [4, 25], [13, 29], [5, 30], [7, 30], [6, 27]]
199	[[13, 29]]	[[1, 30], [9, 29], [11, 27], [5, 24], [14, 28], [5, 30], [7, 30], [6, 27]]
200	[[13, 29]]	[[1, 30], [10, 30], [11, 27], [6, 23], [15, 29], [5, 29], [7, 30], [7, 28]]
201	[[14, 29]]	[[1, 30], [10, 30], [11, 27], [7, 23], [15, 29], [5, 29], [8, 30], [7, 28]]
202	[[15, 29]]	[[1, 30], [11, 30], [11, 28], [8, 24], [16, 28], [6, 30], [9, 29], [8, 27]]
203	[[16, 29]]	[[1, 30], [11, 30], [11, 28], [9, 25], [16, 27], [6, 30], [9, 29], [8, 27]]
204	[[17, 29]]	[[1, 30], [11, 30], [11, 28], [9, 25], [16, 27], [7, 29], [9, 30], [9, 28]]
205	[[18, 29]]	[[1, 30], [11, 30], [12, 28], [10, 26], [17, 26], [7, 29], [9, 30], [9, 28]]
206	[[19, 29]]	[[2, 30], [11, 30], [13, 29], [11, 27], [18, 27], [7, 29], [9, 30], [9, 28]]
207	[[20, 29]]	[[3, 29], [11, 30], [14, 30], [11, 27], [18, 27], [7, 29], [9, 30], [9, 28]]
208	[[21, 29]]	[[3, 29], [11, 30], [14, 30], [12, 28], [18, 28], [7, 29], [9, 30], [10, 27]]
209	[[22, 29]]	[[4, 28], [12, 30], [14, 30], [13, 27], [19, 29], [8, 28], [9, 30], [11, 28]]
210	[[22, 29]]	[[5, 29], [12, 30], [14, 30], [14, 26], [19, 29], [9, 27], [9, 30], [12, 28]]
211	[[23, 29]]	[[6, 30], [12, 30], [15, 29], [15, 27], [19, 29], [10, 26], [9, 30], [12, 28]]
212	[[24, 29]]	[[6, 30], [12, 30], [16, 30], [15, 27], [20, 29], [11, 25], [10, 29], [12, 28]]
213	[[25, 29]]	[[6, 30], [12, 30], [16, 30], [16, 28], [20, 29], [12, 26], [10, 29], [12, 28]]
214	[[26, 29]]	[[7, 29], [12, 30], [16, 30], [16, 28], [20, 29], [12, 26], [10, 30], [12, 28]]
215	[[27, 29]]	[[8, 28], [12, 30], [16, 30], [17, 27], [21, 30], [12, 26], [10, 30], [13, 28]]
216	[[28, 29]]	[[8, 28], [13, 30], [16, 30], [18, 28], [21, 30], [12, 26], [10, 30], [13, 28]]
217	[[29, 29]]	[[8, 28], [13, 30], [16, 30], [19, 29], [22, 29], [13, 25], [10, 30], [14, 27]]
218	[[30, 29]]	[[8, 28], [13, 30], [16, 30], [20, 29], [22, 29], [13, 25], [10, 30], [15, 28]]
219	[[30, 28]]	[[8, 28], [13, 30], [16, 30], [20, 29], [23, 28], [14, 26], [10, 30], [16, 27]]
220	[[30, 28]]	[[9, 27], [14, 29], [17, 29], [21, 28], [23, 28], [15, 25], [10, 30], [16, 27]]
221	[[30, 27]]	[[10, 28], [14, 29], [18, 28], [21, 28], [23, 28], [16, 25], [10, 30], [16, 27]]
222	[[30, 26]]	[[11, 27], [15, 30], [19, 27], [21, 27], [24, 27], [17, 24], [10, 29], [17, 26]]
223	[[30, 25]]	[[11, 26], [16, 29], [19, 27], [22, 26], [25, 26], [17, 24], [10, 29], [17, 26]]
224	[[30, 24]]	[[12, 25], [17, 29], [20, 26], [23, 25], [26, 25], [17, 24], [11, 28], [17, 26]]
